Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
,,,,,,,,,,,
18,Wed,1/19/11,,Lille,3–0,Nancy,,Stadium Lille Métropole,Alexandre Castro,Match Report,
18,Sat,1/22/11,,Lens,2–0,Caen,,Stade Bollaert,Stéphane Bré,Match Report,
,,,,,,,,,,,
21,Sat,1/29/11,,Saint-Étienne,2–1,Toulouse,,Stade Geoffroy,Philippe Kalt,Match Report,
21,Sat,1/29/11,,Sochaux,5–1,Rennes,,Stade Bonal,Alexandre Castro,Match Report,
21,Sat,1/29/11,,Valenciennes,2–1,Lyon,,Stade Nungesser,Sébastien Moreira,Match Report,
21,Sat,1/29/11,,Lille,1–0,Lens,,Stadium Lille Métropole,Bruno Coué,Match Report,
21,Sat,1/29/11,,Lorient,2–0,Brest,,Stade Yves Allainmat,Nicolas Rainville,Match Report,
21,Sat,1/29/11,,Arles-Avignon,1–2,Paris S-G,,Parc des Sports,Damien Ledentu,Match Report,
21,Sat,1/29/11,,Caen,2–0,Auxerre,,Stade Michel d'Ornano,Bartolomeu Varela,Match Report,
21,Sun,1/30/11,,Bordeaux,2–0,Nice,,Stade Chaban,Wilfried Bien,Match Report,
21,Sun,1/30/11,,Nancy,1–2,Montpellier,,Stade Marcel Picot,Hervé Piccirillo,Match Report,
21,Sun,1/30/11,,Monaco,0–0,Marseille,,Stade Louis II,Saïd Ennjimi,Match Report,
,,,,,,,,,,,
22,Sat,2/5/11,,Montpellier,1–2,Saint-Étienne,,Stade de la Mosson et du Mondial 98,Bartolomeu Varela,Match Report,
22,Sat,2/5/11,,Caen,0–2,Lorient,,Stade Michel d'Ornano,Clément Turpin,Match Report,
22,Sat,2/5/11,,Rennes,1–0,Paris S-G,,ROAZHON PARK,Laurent Duhamel,Match Report,
22,Sat,2/5/11,,Marseille,1–0,Arles-Avignon,,Stade Vélodrome,Bruno Coué,Match Report,
22,Sat,2/5/11,,Brest,2–1,Nancy,,Stade Francis,Pascal Viléo,Match Report,
22,Sat,2/5/11,,Nice,1–0,Sochaux,,Allianz Riviera,Ruddy Buquet,Match Report,
22,Sat,2/5/11,,Lens,1–1,Valenciennes,,Stade Bollaert,Antony Gautier,Match Report,
22,Sun,2/6/11,,Lyon,0–0,Bordeaux,,Stade Municipal de Gerland,Stéphane Lannoy,Match Report,
22,Sun,2/6/11,,Toulouse,2–0,Monaco,,Stadium,Jean-Charles Cailleux,Match Report,
22,Sun,2/6/11,,Auxerre,1–1,Lille,,Stade Abbé Deschamps,Olivier Thual,Match Report,
,,,,,,,,,,,
23,Sat,2/12/11,,Bordeaux,1–2,Caen,,Stade Chaban,Saïd Ennjimi,Match Report,
23,Sat,2/12/11,,Nancy,3–1,Auxerre,,Stade Marcel Picot,Damien Ledentu,Match Report,
23,Sat,2/12/11,,Paris S-G,0–0,Lens,,Parc des Princes,Nicolas Rainville,Match Report,
23,Sat,2/12/11,,Arles-Avignon,0–0,Montpellier,,Parc des Sports,Stéphane Bré,Match Report,
23,Sat,2/12/11,,Sochaux,1–2,Marseille,,Stade Bonal,Philippe Malige,Match Report,
23,Sat,2/12/11,,Saint-Étienne,1–4,Lyon,,Stade Geoffroy,Lionel Jaffredo,Match Report,
23,Sat,2/12/11,,Monaco,3–1,Lorient,,Stade Louis II,Hervé Piccirillo,Match Report,
23,Sun,2/13/11,,Rennes,2–0,Nice,,ROAZHON PARK,Sébastien Moreira,Match Report,
23,Sun,2/13/11,,Lille,2–0,Toulouse,,Stadium Lille Métropole,Wilfried Bien,Match Report,
23,Sun,2/13/11,,Valenciennes,3–0,Brest,,Stade Nungesser,Philippe Kalt,Match Report,
,,,,,,,,,,,
24,Fri,2/18/11,,Lyon,4–0,Nancy,,Stade Municipal de Gerland,Olivier Thual,Match Report,
24,Sat,2/19/11,,Caen,2–2,Valenciennes,,Stade Michel d'Ornano,Jean-Charles Cailleux,Match Report,
24,Sat,2/19/11,,Brest,2–0,Monaco,,Stade Francis,Sébastien Moreira,Match Report,
24,Sat,2/19/11,,Lens,2–3,Sochaux,,Stade Bollaert,Bartolomeu Varela,Match Report,
24,Sat,2/19/11,,Marseille,2–1,Saint-Étienne,,Stade Vélodrome,Ruddy Buquet,Match Report,
24,Sat,2/19/11,,Lorient,5–1,Bordeaux,,Stade Yves Allainmat,Antony Gautier,Match Report,
24,Sat,2/19/11,,Auxerre,1–1,Arles-Avignon,,Stade Abbé Deschamps,Fredy Fautrel,Match Report,
24,Sun,2/20/11,,Toulouse,1–2,Rennes,,Stadium,Pascal Viléo,Match Report,
24,Sun,2/20/11,,Montpellier,1–0,Lille,,Stade de la Mosson et du Mondial 98,Tony Chapron,Match Report,
24,Sun,2/20/11,,Nice,0–3,Paris S-G,,Allianz Riviera,Lionel Jaffredo,Match Report,
,,,,,,,,,,,
25,Sat,2/26/11,,Bordeaux,3–0,Auxerre,,Stade Chaban,Bruno Coué,Match Report,
25,Sat,2/26/11,,Valenciennes,0–0,Lorient,,Stade Nungesser,Olivier Thual,Match Report,
25,Sat,2/26/11,,Arles-Avignon,1–1,Brest,,Parc des Sports,Jean-Charles Cailleux,Match Report,
25,Sat,2/26/11,,Monaco,2–2,Caen,,Stade Louis II,Lionel Jaffredo,Match Report,
25,Sat,2/26/11,,Sochaux,0–0,Montpellier,,Stade Bonal,Clément Turpin,Match Report,
