Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
25,Sun,3/6/11,,Freiburg,1–3,Werder Bremen,,,Knut Kircher,Match Report,
25,Sun,3/6/11,,Hamburger SV,2–4,Mainz 05,,,Babak Rafati,Match Report,
,,,,,,,,,,,
26,Fri,3/11/11,,Köln,4–0,Hannover 96,,,Wolfgang Stark,Match Report,
26,Sat,3/12/11,,Kaiserslautern,2–1,Freiburg,,,Peter Sippel,Match Report,
26,Sat,3/12/11,,Schalke 04,2–1,Eint Frankfurt,,,Markus Schmidt,Match Report,
26,Sat,3/12/11,,Werder Bremen,1–1,M'Gladbach,,,Manuel Gräfe,Match Report,
26,Sat,3/12/11,,Hoffenheim,1–0,Dortmund,,,Jochen Drees,Match Report,
26,Sat,3/12/11,,Wolfsburg,1–2,Nürnberg,,,Guido Winkmann,Match Report,
26,Sat,3/12/11,,Bayern Munich,6–0,Hamburger SV,,,Michael Weiner,Match Report,
26,Sun,3/13/11,,St. Pauli,1–2,Stuttgart,,,Thorsten Kinhöfer,Match Report,
26,Sun,3/13/11,,Mainz 05,0–1,Leverkusen,,,Peter Gagelmann,Match Report,
,,,,,,,,,,,
27,Fri,3/18/11,,M'Gladbach,0–1,Kaiserslautern,,,Knut Kircher,Match Report,
27,Sat,3/19/11,,Hamburger SV,6–2,Köln,,,Robert Hartmann,Match Report,
27,Sat,3/19/11,,Hannover 96,2–0,Hoffenheim,,,Marc Seemann,Match Report,
27,Sat,3/19/11,,Dortmund,1–1,Mainz 05,,,Felix Brych,Match Report,
27,Sat,3/19/11,,Eint Frankfurt,2–1,St. Pauli,,,Günter Perl,Match Report,
27,Sat,3/19/11,,Freiburg,1–2,Bayern Munich,,,Peter Gagelmann,Match Report,
27,Sat,3/19/11,,Nürnberg,1–3,Werder Bremen,,,Michael Weiner,Match Report,
27,Sun,3/20/11,,Stuttgart,1–1,Wolfsburg,,,Manuel Gräfe,Match Report,
27,Sun,3/20/11,,Leverkusen,2–0,Schalke 04,,,Wolfgang Stark,Match Report,
,,,,,,,,,,,
28,Fri,4/1/11,,St. Pauli,0–2,Schalke 04,,,Deniz Aytekin,Match Report,
28,Sat,4/2/11,,Kaiserslautern,0–1,Leverkusen,,,Marco Fritz,Match Report,
28,Sat,4/2/11,,Hoffenheim,0–0,Hamburger SV,,,Tobias Welz,Match Report,
28,Sat,4/2/11,,Bayern Munich,1–0,M'Gladbach,,,Christian Dingert,Match Report,
28,Sat,4/2/11,,Werder Bremen,1–1,Stuttgart,,,Günter Perl,Match Report,
28,Sat,4/2/11,,Mainz 05,1–1,Freiburg,,,Markus Schmidt,Match Report,
28,Sat,4/2/11,,Dortmund,4–1,Hannover 96,,,Manuel Gräfe,Match Report,
28,Sun,4/3/11,,Wolfsburg,1–1,Eint Frankfurt,,,Thorsten Kinhöfer,Match Report,
28,Sun,4/3/11,,Köln,1–0,Nürnberg,,,Florian Meyer,Match Report,
,,,,,,,,,,,
29,Fri,4/8/11,,Eint Frankfurt,1–1,Werder Bremen,,,Florian Meyer,Match Report,
29,Sat,4/9/11,,Hannover 96,2–0,Mainz 05,,,Thorsten Kinhöfer,Match Report,
29,Sat,4/9/11,,Schalke 04,1–0,Wolfsburg,,,Peter Sippel,Match Report,
29,Sat,4/9/11,,Hamburger SV,1–1,Dortmund,,,Peter Gagelmann,Match Report,
29,Sat,4/9/11,,Nürnberg,1–1,Bayern Munich,,,Knut Kircher,Match Report,
29,Sat,4/9/11,,Freiburg,3–2,Hoffenheim,,,Wolfgang Stark,Match Report,
29,Sat,4/9/11,,Stuttgart,2–4,Kaiserslautern,,,Deniz Aytekin,Match Report,
29,Sun,4/10/11,,M'Gladbach,5–1,Köln,,,Michael Weiner,Match Report,
29,Sun,4/10/11,,Leverkusen,2–1,St. Pauli,,,Jochen Drees,Match Report,
,,,,,,,,,,,
30,Fri,4/15/11,,Mainz 05,1–0,M'Gladbach,,,Deniz Aytekin,Match Report,
30,Sat,4/16/11,,Köln,1–3,Stuttgart,,,Peter Sippel,Match Report,
30,Sat,4/16/11,,Werder Bremen,1–1,Schalke 04,,,Knut Kircher,Match Report,
30,Sat,4/16/11,,Hoffenheim,1–0,Eint Frankfurt,,,Michael Weiner,Match Report,
30,Sat,4/16/11,,Hamburger SV,0–0,Hannover 96,,,Christian Dingert,Match Report,
