Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
19,Wed,2011-01-19,,VVV-Venlo,1–2,Utrecht,,Seacon Stadion - De Koel -,Ben Haverkort,Match Report,
19,Wed,2011-01-19,,Twente,5–0,Heracles Almelo,,De Grolsch Veste,Pol van Boekel,Match Report,

20,Fri,2011-01-21,,ADO Den Haag,3–1,Heerenveen,,Kyocera Stadium,Richard Liesveld,Match Report,
20,Sat,2011-01-22,,Feyenoord,0–1,De Graafschap,,De Kuip,Tom van Sichem,Match Report,
20,Sat,2011-01-22,,NEC Nijmegen,2–2,NAC Breda,,Goffertstadion,Reinold Wiedemeijer,Match Report,
20,Sat,2011-01-22,,Heracles Almelo,0–0,AZ Alkmaar,,Polman Stadion,Eric Braamhaar,Match Report,
20,Sat,2011-01-22,,Willem II,1–0,Vitesse,,Koning Willem II Stadion,Pol van Boekel,Match Report,
20,Sun,2011-01-23,,Groningen,1–2,Twente,,Euroborg,Jan Wegereef,Match Report,
20,Sun,2011-01-23,,Roda JC,3–0,Excelsior,,Parkstad Limburg Stadion,Michel Winter,Match Report,
20,Sun,2011-01-23,,Utrecht,3–0,Ajax,,Galgenwaard,Ruud Bossen,Match Report,
20,Sun,2011-01-23,,VVV-Venlo,0–3,PSV Eindhoven,,Seacon Stadion - De Koel -,Björn Kuipers,Match Report,

21,Fri,2011-01-28,,NEC Nijmegen,1–1,Heracles Almelo,,Goffertstadion,Jeroen Sanders,Match Report,
21,Sat,2011-01-29,,AZ Alkmaar,6–1,VVV-Venlo,,AFAS Stadion,Serdar Gözübüyük,Match Report,
21,Sat,2011-01-29,,Vitesse,5–2,Roda JC,,GelreDome,Sébastien Delferiere,Match Report,
21,Sat,2011-01-29,,PSV Eindhoven,2–1,Willem II,,Philips Stadion,Reinold Wiedemeijer,Match Report,
21,Sun,2011-01-30,,Excelsior,1–5,ADO Den Haag,,Stadion Woudestein,Tom van Sichem,Match Report,
21,Sun,2011-01-30,,Heerenveen,1–4,Groningen,,Abe Lenstra stadion,Ed Janssen,Match Report,
21,Sun,2011-01-30,,Twente,2–1,Feyenoord,,De Grolsch Veste,Richard Liesveld,Match Report,
21,Sun,2011-01-30,,NAC Breda,0–3,Ajax,,Rat Verlegh Stadion,Bas Nijhuis,Match Report,
21,Tue,2011-02-01,,De Graafschap,0–0,Utrecht,,De Vijverberg,Pieter Vink,Match Report,

22,Fri,2011-02-04,,Ajax,2–0,De Graafschap,,Amsterdam ArenA,Ben Haverkort,Match Report,
22,Sat,2011-02-05,,Heerenveen,0–0,NEC Nijmegen,,Abe Lenstra stadion,Eric Braamhaar,Match Report,
22,Sat,2011-02-05,,VVV-Venlo,3–0,NAC Breda,,Seacon Stadion - De Koel -,Ruud Bossen,Match Report,
22,Sat,2011-02-05,,PSV Eindhoven,0–1,ADO Den Haag,,Philips Stadion,Pol van Boekel,Match Report,
22,Sat,2011-02-05,,Excelsior,2–1,AZ Alkmaar,,Stadion Woudestein,Danny Makkelie,Match Report,
22,Sun,2011-02-06,,Groningen,7–1,Willem II,,Euroborg,Kevin Blom,Match Report,
22,Sun,2011-02-06,,Heracles Almelo,1–0,Roda JC,,Polman Stadion,Ed Janssen,Match Report,
22,Sun,2011-02-06,,Utrecht,1–1,Twente,,Galgenwaard,Jack van Hulten,Match Report,
22,Sun,2011-02-06,,Vitesse,1–1,Feyenoord,,GelreDome,Björn Kuipers,Match Report,

23,Sat,2011-02-12,,Willem II,3–3,Utrecht,,Koning Willem II Stadion,Richard Liesveld,Match Report,
23,Sat,2011-02-12,,AZ Alkmaar,0–4,PSV Eindhoven,,AFAS Stadion,Bas Nijhuis,Match Report,
23,Sat,2011-02-12,,ADO Den Haag,3–0,VVV-Venlo,,Kyocera Stadium,Pieter Vink,Match Report,
23,Sat,2011-02-12,,Feyenoord,2–1,Heracles Almelo,,De Kuip,Reinold Wiedemeijer,Match Report,
23,Sat,2011-02-12,,Twente,1–0,Vitesse,,De Grolsch Veste,Danny Makkelie,Match Report,
23,Sun,2011-02-13,,NEC Nijmegen,2–0,Excelsior,,Goffertstadion,Jan Wegereef,Match Report,
23,Sun,2011-02-13,,Roda JC,2–2,Ajax,,Parkstad Limburg Stadion,Jack van Hulten,Match Report,
23,Sun,2011-02-13,,NAC Breda,0–2,Heerenveen,,Rat Verlegh Stadion,Serdar Gözübüyük,Match Report,
23,Sun,2011-02-13,,De Graafschap,1–1,Groningen,,De Vijverberg,Eric Braamhaar,Match Report,

24,Fri,2011-02-18,,Utrecht,1–1,Heracles Almelo,,Galgenwaard,Michel Winter,Match Report,
24,Sat,2011-02-19,,Heerenveen,0–2,AZ Alkmaar,,Abe Lenstra stadion,Björn Kuipers,Match Report,
24,Sat,2011-02-19,,Excelsior,4–0,Willem II,,Stadion Woudestein,Ruud Bossen,Match Report,
24,Sat,2011-02-19,,Groningen,1–4,Roda JC,,Euroborg,Pieter Vink,Match Report,
24,Sun,2011-02-20,,PSV Eindhoven,4–1,NAC Breda,,Philips Stadion,Ben Haverkort,Match Report,
24,Sun,2011-02-20,,ADO Den Haag,2–2,Feyenoord,,Kyocera Stadium,Danny Makkelie,Match Report,
24,Sun,2011-02-20,,Vitesse,2–0,De Graafschap,,GelreDome,Richard Liesveld,Match Report,
24,Sun,2011-02-20,,Ajax,1–0,VVV-Venlo,,Amsterdam ArenA,Jan Wegereef,Match Report,
24,Sun,2011-02-20,,Twente,1–1,NEC Nijmegen,,De Grolsch Veste,Kevin Blom,Match Report,

25,Fri,2011-02-25,,VVV-Venlo,1–0,Excelsior,,Seacon Stadion - De Koel -,Björn Kuipers,Match Report,
25,Sat,2011-02-26,,Heracles Almelo,6–1,Vitesse,,Polman Stadion,Ben Haverkort,Match Report,
25,Sat,2011-02-26,,NAC Breda,3–2,ADO Den Haag,,Rat Verlegh Stadion,Ed Janssen,Match Report,
25,Sat,2011-02-26,,Roda JC,1–1,De Graafschap,,Parkstad Limburg Stadion,Tom van Sichem,Match Report,
25,Sat,2011-02-26,,Willem II,4–3,Heerenveen,,Koning Willem II Stadion,Pieter Vink,Match Report,
25,Sun,2011-02-27,,Feyenoord,5–1,Groningen,,De Kuip,Bas Nijhuis,Match Report,
25,Sun,2011-02-27,,PSV Eindhoven,0–0,Ajax,,Philips Stadion,Eric Braamhaar,Match Report,
25,Sun,2011-02-27,,NEC Nijmegen,1–1,Utrecht,,Goffertstadion,Luc Wouters,Match Report,
25,Sun,2011-02-27,,AZ Alkmaar,2–1,Twente,,AFAS Stadion,Ruud Bossen,Match Report,

26,Fri,2011-03-04,,De Graafschap,2–1,Willem II,,De Vijverberg,Bas Nijhuis,Match Report,
26,Sat,2011-03-05,,Vitesse,2–0,VVV-Venlo,,GelreDome,Christof Virant,Match Report,
26,Sat,2011-03-05,,Excelsior,2–3,PSV Eindhoven,,Stadion Woudestein,Danny Makkelie,Match Report,
26,Sat,2011-03-05,,ADO Den Haag,5–1,NEC Nijmegen,,Kyocera Stadium,Tom van Sichem,Match Report,
26,Sat,2011-03-05,,Twente,2–0,NAC Breda,,De Grolsch Veste,Jan Wegereef,Match Report,
26,Sun,2011-03-06,,Groningen,1–4,Heracles Almelo,,Euroborg,Serdar Gözübüyük,Match Report,
