Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
15,Sat,2011-01-08,,Sporting CP,2–1,Braga,,Estádio José Alvalade ,Bruno Paixão,Match Report,
15,Sat,2011-01-08,,Porto,4–1,Marítimo,,Estádio Do Dragão ,Carlos Xistra,Match Report,
15,Sun,2011-01-09,,Rio Ave,0–1,Olhanense,,Estádio do Rio Ave Futebol Clube ,Cosme Machado,Match Report,
15,Sun,2011-01-09,,União de Leiria,0–3,Benfica,,Estádio Dr. Magalhães Pessoa ,Duarte Gomes,Match Report,
15,Sun,2011-01-09,,Académica,0–0,Paços,,Estádio EFAPEL ,João Ferreira,Match Report,
15,Sun,2011-01-09,,Vitória,1–2,Naval,,Estádio Dom Afonso Henriques ,Bruno Esteves,Match Report,
15,Sun,2011-01-09,,Nacional,0–0,Beira-Mar,,Estádio da Madeira ,Diogo Santos,Match Report,

16,Fri,2011-01-14,,Portimonense,0–3,Braga,,Estádio do Portimonense SC ,Carlos Xistra,Match Report,
16,Sat,2011-01-15,,Sporting CP,2–3,Paços,,Estádio José Alvalade ,Luís Catita,Match Report,
16,Sat,2011-01-15,,Vitória,1–0,Olhanense,,Estádio Dom Afonso Henriques ,Marco Ferreira,Match Report,
16,Sun,2011-01-16,,Vitória Setúbal,2–4,Marítimo,,Estádio do Bonfim ,Vasco Santos,Match Report,
16,Sun,2011-01-16,,Porto,3–1,Naval,,Estádio Do Dragão ,Cosme Machado,Match Report,
16,Sun,2011-01-16,,Académica,0–1,Benfica,,Estádio EFAPEL ,Elmano Santos,Match Report,
16,Sun,2011-01-16,,Nacional,1–0,Rio Ave,,Estádio da Madeira ,André Gralha,Match Report,
16,Sun,2011-01-16,,União de Leiria,0–3,Beira-Mar,,Estádio Dr. Magalhães Pessoa ,Hugo Pacheco,Match Report,

17,Sat,2011-01-22,,Paços,1–1,União de Leiria,,Estádio da Capital do Móvel ,Jorge Ferreira,Match Report,
17,Sat,2011-01-22,,Braga,2–2,Vitória Setúbal,,Estádio Municipal de Braga ,Olegário Benquerença,Match Report,
17,Sat,2011-01-22,,Benfica,4–2,Nacional,,Estádio do Sport Lisboa e Benfica ,Rui Costa,Match Report,
17,Sat,2011-01-22,,Naval,1–1,Portimonense,,Estádio Municipal José Bento Pessoa ,João Capela,Match Report,
17,Sat,2011-01-22,,Olhanense,2–1,Académica,,Estádio José Arcanjo ,Rui Silva,Match Report,
17,Sat,2011-01-22,,Rio Ave,2–3,Vitória,,Estádio do Rio Ave Futebol Clube ,Bruno Paixão,Match Report,
17,Sat,2011-01-22,,Beira-Mar,0–1,Porto,,Estádio Municipal de Aveiro ,João Ferreira,Match Report,
17,Mon,2011-01-24,,Marítimo,0–3,Sporting CP,,Estádio dos Barreiros ,Artur Soares Dias,Match Report,

20,Wed,2011-01-26,,Porto,3–0,Nacional,,Estádio Do Dragão ,Paulo Baptista,Match Report,

18,Fri,2011-02-04,,Sporting CP,3–3,Naval,,Estádio José Alvalade ,Bruno Esteves,Match Report,
